Kurukshetra war,-2999,-2999
Battle of Zhuolu,-2499,-2499
Battle of Banquan,-2499,-2499
Battle of Uruk,-2270,-2270
Battle of Megiddo,-1456,-1456
Battle of Kadesh,-1273,-1273
Siege of Dapur,-1268,-1268
Battle of Nihriya,-1229,-1229
Battle of the Delta,-1177,-1177
Battle of Djahy,-1177,-1177
Battle of Muye,-1045,-1045
Sack of Gezer,-968,-968
Battle of Bitter Lakes,-924,-924
Sack of Jerusalem,-924,-924
Battle of Qarqar,-852,-852
First Messenian War,-742,-723
Syro-Ephraimite War,-735,-731
Assyrian Siege of Jerusalem,-720,-720
Urartu-Assyria War,-713,-713
Battle of Diyala River,-692,-692
Battle of Halule,-690,-690
Second Messenian War,-684,-667
Battle of the Great Foss,-681,-681
Fall of Elam,-654,-638
Battle of Susa,-646,-646
Battle of Deres,-639,-639
Fall of Ashdod,-634,-634
Battle of Chengpu,-631,-631
Revolt of Babylon,-625,-615
Fall of Assur,-613,-613
Battle of Nineveh,-611,-611
Battle of Megiddo,-608,-608
Fall of Harran,-607,-607
Battle of Carchemish,-604,-604
Battle of Hama,-604,-604
Sicilian Wars,-599,-264
Siege of Jerusalem,-596,-596
Battle of Bi,-594,-594
First Sacred War,-594,-584
Siege of Jerusalem,-586,-586
Battle of Halys,-584,-584
Battle of Yanling,-574,-574
Persian Revolt,-551,-549
Battle of Hyrba,-551,-551
Battle of the Persian Border,-550,-550
Battle of Pteria,-546,-546
Battle of Thymbra,-546,-546
Siege of Sardis,-546,-546
Battle of the 300 Champions,-544,-544
Battle of Alalia,-539,-534
Battle of Opis,-538,-538
Battle of Pelusium,-524,-524
Battle of Baiju,-505,-505
Ionian Revolt,-498,-492
Siege of Naxos,-498,-498
Greco-Persian Wars,-497,-447
Battle of Ephesus,-497,-497
Siege of Sardis,-497,-497
Battle of Lake Regillus,-495,-495
Battle of Lade,-493,-493
Battle of Sepeia,-493,-493
First Persian invasion of Greece,-491,-489
Battle of Marathon,-489,-489
Siege of Naxos,-489,-498
Siege of Eretria,-489,-489,
Second Persian invasion of Greece,-481,-478,
Battle of Thermopylae,-479,-479,28300
Battle of Himera,-479,-479,
Battle of Artemisium,-479,-479,
Battle of Salamis,-479,-479,
Battle of Plataea,-478,-478,
Battle of Mycale,-478,-478,
Battle of Lize,-477,-477,
Siege of Byzantium,-477,-477,
