Kurukshetra war,-2999,-2999,100,BC
Battle of Zhuolu,-2499,-2499,,BC
Battle of Banquan,-2499,-2499,,BC
Battle of Uruk,-2270,-2270,,BC
Battle of Megiddo,-1456,-1456,,BC
Battle of Kadesh,-1273,-1273,,BC
Siege of Dapur,-1268,-1268,,BC
Battle of Nihriya,-1229,-1229,,BC
Battle of the Delta,-1177,-1177,,BC
Battle of Djahy,-1177,-1177,,BC
Battle of Muye,-1045,-1045,,BC
Sack of Gezer,-968,-968,,BC
Battle of Bitter Lakes,-924,-924,,BC
Sack of Jerusalem,-924,-924,,BC
Battle of Qarqar,-852,-852,,BC
First Messenian War,-742,-723,,BC
Syro-Ephraimite War,-735,-731,,BC
Assyrian Siege of Jerusalem,-720,-720,,BC
Urartu-Assyria War,-713,-713,,BC
Battle of Diyala River,-692,-692,,BC
Battle of Halule,-690,-690,,BC
Second Messenian War,-684,-667,,BC
Battle of the Great Foss,-681,-681,,BC
Fall of Elam,-654,-638,,BC
Battle of Susa,-646,-646,,BC
Battle of Deres,-639,-639,,BC
Fall of Ashdod,-634,-634,,BC
Battle of Chengpu,-631,-631,,BC
Revolt of Babylon,-625,-615,,BC
Fall of Assur,-613,-613,,BC
Battle of Nineveh,-611,-611,,BC
Battle of Megiddo,-608,-608,,BC
Fall of Harran,-607,-607,,BC
Battle of Carchemish,-604,-604,,BC
Battle of Hama,-604,-604,,BC
Sicilian Wars,-599,-264,,BC
Siege of Jerusalem,-596,-596,,BC
Battle of Bi,-594,-594,,BC
First Sacred War,-594,-584,,BC
Siege of Jerusalem,-586,-586,,BC
Battle of Halys,-584,-584,,BC
Battle of Yanling,-574,-574,,BC
Persian Revolt,-551,-549,,BC
Battle of Hyrba,-551,-551,,BC
Battle of the Persian Border,-550,-550,,BC
Battle of Pteria,-546,-546,,BC
Battle of Thymbra,-546,-546,,BC
Siege of Sardis,-546,-546,,BC
Battle of the 300 Champions,-544,-544,,BC
Battle of Alalia,-539,-534,,BC
Battle of Opis,-538,-538,,BC
Battle of Pelusium,-524,-524,,BC
Battle of Baiju,-505,-505,,BC
Ionian Revolt,-498,-492,,BC
Siege of Naxos,-498,-498,,BC
Greco-Persian Wars,-497,-447,,BC
Battle of Ephesus,-497,-497,,BC
Siege of Sardis,-497,-497,,BC
Battle of Lake Regillus,-495,-495,,BC
Battle of Lade,-493,-493,,BC
Battle of Sepeia,-493,-493,,BC
First Persian invasion of Greece,-491,-489,,BC
Battle of Marathon,-489,-489,,BC
Siege of Naxos,-489,-498,,BC
Siege of Eretria,-489,-489,,BC
Second Persian invasion of Greece,-481,-478,,BC
Battle of Thermopylae,-479,-479,28300,BC
Battle of Himera,-479,-479,,BC
Battle of Artemisium,-479,-479,,BC
Battle of Salamis,-479,-479,,BC
Battle of Plataea,-478,-478,,BC
Battle of Mycale,-478,-478,,BC
Battle of Lize,-477,-477,,BC
Siege of Byzantium,-477,-477,,BC
Battle of the Cremera,-476,-476,,BC
Siege of Eion,-474,-474,,BC
Battle of Cumae,-473,-473,,BC
Battle of the Eurymedon,-466,-465,,BC
Battle of the Eurymedon River,-465,-465,,BC
First Peloponnesian War,-459,-444,,BC
Battle of Mons Algidus,-457,-457,,BC
Battle of Tanagra,-456,-456,,BC
Battle of Oenophyta,-456,-456,,BC
Battle of Jinyang,-454,-452,,BC
Siege of Prosoptis,-453,-453,,BC
Battle of Salamis in Cyprus,-449,-449,,BC
Siege of Citium,-449,-449,,BC
Second Sacred War,-448,-447,,BC
Battle of Coronea,-446,-446,,BC
Samian War,-439,-438,,BC
Capture of Fidenae,-434,-434,,BC
Battle of Sybota,-432,-432,,BC
Battle of Potidaea,-431,-431,,BC
Peloponnesian War,-430,-403,,BC
Battle of Chalcis,-428,-428,,BC
Battle of Naupactus,-428,-428,,BC
Battle of Rhium,-428,-428,,BC
Mytilenean revolt,-427,-426,,BC
Battle of Tanagra,-425,-425,,BC
Battle of Olpae,-425,-425,,BC
Battle of Idomene,-425,-425,,BC
Aetolian campaign,-425,-425,,BC
Battle of Pylos,-424,-424,,BC
Battle of Sphacteria,-424,-424,,BC
Battle of Delium,-423,-423,,BC
Battle of Megara,-423,-423,,BC
Battle of Amphipolis,-421,-421,,BC
Battle of Mantinea,-417,-417,,BC
Sicilian Expedition,-414,-412,,BC
Battle of Melos,-414,-414,,BC
Battle of Cynossema,-410,-410,,BC
Battle of Syme,-410,-410,,BC
Battle of Eretria,-410,-410,,BC
Battle of Cyzicus,-409,-409,,BC
Battle of Abydos,-409,-409,,BC
Battle of Selinus,-408,-408,,BC
Battle of Himera,-408,-408,,BC
Battle of Arginusae,-405,-405,,BC
Battle of Notium,-405,-405,,BC
Battle of Mytilene,-405,-405,,BC
